ID,Year_Birth,Year_Old,CustomerFor,Dt_Customer,Education,Marital_Status,Income,Kidhome,Teenhome,ChildrenHome,Recency,MntSpentTotal,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,PurchaseLastMonth,NumPurchasesTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,AcceptedCmpTotal,Complain,Z_CostContact,Z_Revenue,Age_cat,Income_cat,MntTotal_cat,Recency_cat
5524,1957,67,4335 days,2012-09-04,Graduation,Single,58138,0,0,0,58,1617,635,88,546,172,88,88,0,22,3,8,10,4,7,0,0,0,0,0,1,0,0,3,11,65_74,D4,"[1265.0, 1685.0)",50_74
2174,1954,70,3785 days,2014-03-08,Graduation,Single,46344,1,1,2,38,27,11,1,6,2,1,6,0,4,2,1,1,2,5,0,0,0,0,0,0,0,0,3,11,65_74,D3,"[2.0, 87.0)",25_49
4141,1965,59,3984 days,2013-08-21,Graduation,Together,71613,0,0,0,26,776,426,49,127,111,21,42,1,20,1,8,2,10,4,0,0,0,0,0,0,0,0,3,11,55_64,D5,"[425.0, 845.0)",25_49
6182,1984,40,3811 days,2014-02-10,Graduation,Together,26646,1,0,1,26,53,11,4,20,10,3,5,1,6,2,2,0,4,6,0,0,0,0,0,0,0,0,3,11,35_44,D2,"[2.0, 87.0)",25_49
5324,1981,43,3833 days,2014-01-19,PhD,Married,58293,1,0,1,94,422,173,43,118,46,27,15,0,14,5,5,3,6,5,0,0,0,0,0,0,0,0,3,11,35_44,D4,"[340.0, 425.0)",75_99
7446,1967,57,3965 days,2013-09-09,Master,Together,62513,0,1,1,16,716,520,42,98,0,42,14,1,20,2,6,4,10,6,0,0,0,0,0,0,0,0,3,11,55_64,D4,"[425.0, 845.0)",0_24
965,1971,53,4265 days,2012-11-13,Graduation,Divorced,55635,0,1,1,34,590,235,65,164,50,49,27,0,17,4,7,3,7,6,0,0,0,0,0,0,0,0,3,11,45_54,D4,"[425.0, 845.0)",25_49
6177,1985,39,4089 days,2013-05-08,PhD,Married,33454,1,0,1,32,169,76,10,56,3,1,23,0,8,2,4,0,4,8,0,0,0,0,0,0,0,0,3,11,35_44,D2,"[87.0, 171.0)",25_49
4855,1974,50,4060 days,2013-06-06,PhD,Together,30351,1,0,1,19,46,14,0,24,3,3,2,1,5,1,3,0,2,9,0,0,0,0,0,1,0,0,3,11,45_54,D2,"[2.0, 87.0)",0_24
5899,1950,74,3780 days,2014-03-13,PhD,Together,5648,1,1,2,68,49,28,0,6,1,1,13,0,1,1,1,0,0,20,0,0,1,0,0,0,1,0,3,11,65_74,D1,"[2.0, 87.0)",50_74
