,ID,Year_Birth,Year_Old,CustomerFor,Dt_Customer,Education,Marital_Status,Income,Kidhome,Teenhome,ChildrenHome,Recency,MntSpentTotal,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,PurchaseLastMonth,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,AcceptedCmpTotal,Complain,Z_CostContact,Z_Revenue
0,5524,1957,67,4323 days,2012-09-04,Graduation,Single,58138,0,0,0,58,1617,635,88,546,172,88,88,0,3,8,10,4,7,0,0,0,0,0,1,1,0,3,11
1,2174,1954,70,3773 days,2014-03-08,Graduation,Single,46344,1,1,2,38,27,11,1,6,2,1,6,0,2,1,1,2,5,0,0,0,0,0,0,0,0,3,11
2,4141,1965,59,3972 days,2013-08-21,Graduation,Together,71613,0,0,0,26,776,426,49,127,111,21,42,1,1,8,2,10,4,0,0,0,0,0,0,0,0,3,11
3,6182,1984,40,3799 days,2014-02-10,Graduation,Together,26646,1,0,1,26,53,11,4,20,10,3,5,1,2,2,0,4,6,0,0,0,0,0,0,0,0,3,11
4,5324,1981,43,3821 days,2014-01-19,PhD,Married,58293,1,0,1,94,422,173,43,118,46,27,15,0,5,5,3,6,5,0,0,0,0,0,0,0,0,3,11
5,7446,1967,57,3953 days,2013-09-09,Master,Together,62513,0,1,1,16,716,520,42,98,0,42,14,1,2,6,4,10,6,0,0,0,0,0,0,0,0,3,11
6,965,1971,53,4253 days,2012-11-13,Graduation,Divorced,55635,0,1,1,34,590,235,65,164,50,49,27,0,4,7,3,7,6,0,0,0,0,0,0,0,0,3,11
7,6177,1985,39,4077 days,2013-05-08,PhD,Married,33454,1,0,1,32,169,76,10,56,3,1,23,0,2,4,0,4,8,0,0,0,0,0,0,0,0,3,11
8,4855,1974,50,4048 days,2013-06-06,PhD,Together,30351,1,0,1,19,46,14,0,24,3,3,2,1,1,3,0,2,9,0,0,0,0,0,1,1,0,3,11
9,5899,1950,74,3768 days,2014-03-13,PhD,Together,5648,1,1,2,68,49,28,0,6,1,1,13,0,1,1,0,0,20,0,0,1,0,0,0,1,0,3,11
11,387,1976,48,4253 days,2012-11-13,Basic,Married,7500,0,0,0,59,61,6,16,11,11,1,16,0,1,2,0,3,8,0,0,0,0,0,0,0,0,3,11
12,2125,1959,65,3886 days,2013-11-15,Graduation,Divorced,63033,0,0,0,82,1102,194,61,480,225,112,30,0,1,3,4,8,2,0,0,0,0,0,0,0,0,3,11
13,8180,1952,72,3886 days,2013-11-15,Master,Divorced,59354,1,1,2,53,310,233,2,53,3,5,14,0,3,6,1,5,6,0,0,0,0,0,0,0,0,3,11
14,2569,1987,37,4287 days,2012-10-10,Graduation,Married,17323,0,0,0,38,46,3,14,17,6,1,5,0,1,1,0,3,8,0,0,0,0,0,0,0,0,3,11
15,2114,1946,78,4242 days,2012-11-24,PhD,Single,82800,0,0,0,23,1315,1006,22,115,59,68,45,1,1,7,6,12,3,1,0,0,0,1,1,3,0,3,11
16,9736,1980,44,4212 days,2012-12-24,Graduation,Married,41850,1,1,2,51,96,53,5,19,2,13,4,0,3,3,0,3,8,0,0,0,0,0,0,0,0,3,11
17,4939,1946,78,4327 days,2012-08-31,Graduation,Together,37760,0,0,0,20,317,84,5,38,150,12,28,1,2,4,1,6,7,0,0,0,0,0,0,0,0,3,11
18,6565,1949,75,4118 days,2013-03-28,Master,Married,76995,0,1,1,91,1782,1012,80,498,0,16,176,0,2,11,4,9,5,1,0,0,0,0,0,1,0,3,11
19,2278,1985,39,4263 days,2012-11-03,2n Cycle,Single,33812,1,0,1,86,133,4,17,19,30,24,39,0,2,2,1,3,6,0,0,0,0,0,0,0,0,3,11
20,9360,1982,42,4350 days,2012-08-08,Graduation,Married,37040,0,0,0,41,316,86,2,73,69,38,48,0,1,4,2,5,8,0,0,0,0,0,0,0,0,3,11
21,5376,1979,45,4199 days,2013-01-06,Graduation,Married,2447,1,0,1,42,1730,1,1,1725,1,1,1,0,15,0,28,0,1,0,0,0,0,0,0,0,0,3,11
22,1993,1949,75,4213 days,2012-12-23,PhD,Married,58607,0,1,1,63,972,867,0,86,0,0,19,0,3,2,3,9,8,0,0,0,1,0,0,1,0,3,11
23,4047,1954,70,3829 days,2014-01-11,PhD,Married,65324,0,1,1,0,544,384,0,102,21,32,5,1,3,6,2,9,4,0,0,0,0,0,0,0,0,3,11
24,1409,1951,73,4128 days,2013-03-18,Graduation,Together,40689,0,1,1,69,444,270,3,27,39,6,99,0,7,7,1,5,8,0,0,0,0,0,0,0,0,3,11
25,7892,1969,55,4203 days,2013-01-02,Graduation,Single,18589,0,0,0,89,75,6,4,25,15,12,13,0,2,2,1,3,7,0,0,0,0,0,0,0,0,3,11
26,2404,1976,48,4058 days,2013-05-27,Graduation,Married,53359,1,1,2,4,257,173,4,30,3,6,41,1,4,5,1,4,7,0,0,0,0,0,0,0,0,3,11
28,9422,1989,35,4054 days,2013-05-31,Graduation,Married,38360,1,0,1,26,131,36,2,42,20,21,10,1,2,2,1,4,3,0,0,0,0,0,0,0,0,3,11
29,1966,1965,59,3879 days,2013-11-22,PhD,Married,84618,0,0,0,96,1672,684,100,801,21,66,0,0,1,6,9,10,2,0,0,0,0,1,0,1,0,3,11
30,6864,1989,35,3698 days,2014-05-22,Master,Divorced,10979,0,0,0,34,30,8,4,10,2,2,4,0,2,3,0,3,5,0,0,0,0,0,0,0,0,3,11
31,3033,1963,61,4074 days,2013-05-11,Master,Together,38620,0,0,0,56,318,112,17,44,34,22,89,0,1,2,5,3,3,0,0,0,0,0,0,0,0,3,11
32,5710,1970,54,4287 days,2012-10-10,Graduation,Together,40548,0,1,1,31,120,110,0,5,2,0,3,0,2,2,1,4,5,0,0,0,1,0,0,1,0,3,11
33,7373,1952,72,4268 days,2012-10-29,PhD,Divorced,46610,0,2,2,8,302,96,12,96,33,22,43,1,6,4,1,6,6,0,0,0,0,0,1,1,0,3,11
34,8755,1946,78,4154 days,2013-02-20,Master,Married,68657,0,0,0,4,1196,482,34,471,119,68,22,1,1,3,5,9,7,0,0,0,0,0,0,0,0,3,11
35,10738,1951,73,3964 days,2013-08-29,Master,Single,49389,1,1,2,55,65,40,0,19,2,1,3,0,1,2,0,3,7,0,0,0,0,0,0,0,0,3,11
36,4339,1970,54,3840 days,2013-12-31,PhD,Married,67353,0,1,1,37,913,702,17,151,0,8,35,0,5,5,6,12,2,0,0,0,0,0,0,0,0,3,11
37,10755,1976,48,3960 days,2013-09-02,2n Cycle,Married,23718,1,0,1,76,81,6,3,14,15,7,36,0,3,3,1,2,7,0,0,0,0,0,0,0,0,3,11
38,8595,1973,51,3798 days,2014-02-11,Graduation,Widow,42429,0,1,1,99,67,55,0,6,2,0,4,0,2,1,1,3,5,0,0,0,0,0,0,0,0,3,11
39,2968,1943,81,4173 days,2013-02-01,PhD,Divorced,48948,0,0,0,53,902,437,8,206,160,49,42,0,2,7,10,5,6,0,0,1,0,0,1,2,0,3,11
40,8601,1980,44,4086 days,2013-04-29,Graduation,Married,80011,0,1,1,3,1395,421,76,536,82,178,102,1,2,8,6,5,4,0,0,0,0,0,0,0,0,3,11
41,503,1985,39,4134 days,2013-03-12,Master,Married,20559,1,0,1,88,53,13,1,29,3,0,7,0,2,2,0,3,8,0,0,0,0,0,0,0,0,3,11
